id,NAME,Address,District,Test Type,FullAddres,Lab Type,Latitude,Longitude
1,Avitis Super Specialty Hospitals Private Limited,Avitis Super Specialty Hospitals Private Limited  XX/882  ThrissurPollachi Main Road  Nemmara Palakkad,Palakkad,TRUENAT,,Private Lab,10.5904137,76.580284
1,DDRC SRL Diagnostics Pvt Ltd,Panampilly Nagar,Ernakulam,RT-PCR,,Private Lab,9.9555410,76.296550
1,Kinder Womens Hospital and Fertility Centre,Kinder Womens Hospital and Fertility Centre  Cherthala,Alappuzha,ANTIGEN,Kinder Womens Hospital and Fertility Centre  Cherthala  Alappuzha,Private Lab,9.6631736,76.341274
1,National Institute of Virology,"National Institute of Virology, Field Unit, Allapuzha",Allapuzha,RT-PCR,,Govt Lab,9.4185178,76.341011
1,,Amrita Institute of Medical Science  Kochi,Ernakulam,XPERT,Amrita Institute of Medical Science,Private Lab,10.0331040,76.292256
2,Government  Medical College,"Government  Medical College, Thiruvanathapuram",Thiruvanathapuram,RT-PCR,,Govt Lab,8.5230080,76.929326
2,Health Park Medical Centre,Health Park Medical Centre  Alappuzha,Alappuzha,ANTIGEN,Health Park Medical Centre  Alappuzha,Private Lab,9.4912659,76.336663
2,Jubilee Mission Medical College & RI,Jubilee Mission Medical College & RI  Thrissur,Thrissur,TRUENAT,,Private Lab,10.5203280,76.227551
2,MIMS Lab Services,Govindapuram,Kozhikode,RT-PCR,,Private Lab,11.2405350,75.804835
2,,Aster Medcity  Aster DM Healthcare Ltd  Kutty Sahib Road  Kothad  Cochin,Ernakulam,XPERT,Aster Medcity,Private Lab,10.0528210,76.477804
3,Aswini Diagnostic Services,Aswini Diagnostic Services  Ramnath Building  Jail Road  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.2519400,75.789024
3,Government  Medical College,"Government  Medical College, Kozhikode",Kozhikode,RT-PCR,,Govt Lab,11.2734230,75.837894
3,Lab Services of Amrita Institute of Medical Sciences & Research Centre,AIMS Ponekkara Kochi,Ernakulam,RT-PCR,,Private Lab,10.0328720,76.293057
3,Sankar's Healthcare Scans & Diagnostics,Sankar's Healthcare Scans & Diagnostics  Kannampallil Building  Near Medical College  Vandanam  Alappuzha,Alappuzha,ANTIGEN,Sankar's Healthcare Scans & Diagnostics  Kannampallil Building  Near Medical College  Vandanam  Alappuzha  Alappuzha,Private Lab,10.3154670,76.330781
3,,NIMS Medicity   Aralumoodu  Neyyattinkara  Thiruvananthapuram,Thiruvananthapuram,XPERT,NIMS Medicity,Private Lab,8.4122248,77.063730
4,Dane Diagnostics Pvt Ltd,18/757 (1) RC Road,Palakkad,RT-PCR,,Private Lab,10.7748620,76.654783
4,Government Medical College,"Government Medical College, Thrissur",Thrissur,RT-PCR,,Govt Lab,10.6187230,76.196582
4,Meitra Hospital,Meitra Hospital 38/2208-B  Karaparamba   Kunduparamba MiniBypass  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.3016960,75.774760
4,Providence Hospital,Providence Hospital  Thumpoly  Alappuzha,Alappuzha,ANTIGEN,Providence Hospital  Thumpoly  Alappuzha  Alappuzha,Private Lab,9.5262160,76.327767
4,,Rajagiri Hospital Laboratory Services  Rajagiri Hospital  Chunangamvely  Aluva,Ernakulam,XPERT,Rajagiri Hospital Laboratory Services,Private Lab,10.0877000,76.388793
5,Medivision Scan & Diagnostic Research Centre Pvt Ltd,Sreekandath Road,Ernakulam,RT-PCR,,Private Lab,9.9616471,76.289441
5,Metro Diagnostic Centre,Metro Diagnostic Centre AVA Sona Tower  Near General Hospital  Alappuzha,Alappuzha,ANTIGEN,Metro Diagnostic Centre AVA Sona Tower  Near General Hospital  Alappuzha  Alappuzha,Private Lab,9.4521730,76.415145
5,Rajiv Gandhi Center for Biotechnology,"Rajiv Gandhi Center for Biotechnology, Thiruvanathapuram",Thiruvanathapuram,RT-PCR,,Govt Lab,8.4923597,76.964686
5,Valluvanad Hospital Complex Limited,Valluvanad Hospital Complex Limited  Ottapalam,Palakaad,TRUENAT,,Private Lab,10.7746350,76.358373
5,,Micro Health Labs  MPS Tower  Kozhikode,Kozhikode,XPERT,Micro Health LAbs,Private Lab,11.2615050,75.792624
6,El Lab Metropolis,El Lab Metropolis  North Paramara Road  Opp Town Hall  Cochin (P),Ernakulam,TRUENAT,,Private Lab,9.9896830,76.285099
6,KVM Superspeciality Hospital,KVM Superspeciality Hospital  Cherthala  Alappuzha,Alappuzha,ANTIGEN,KVM Superspeciality Hospital  Cherthala  Alappuzha  Alappuzha,Private Lab,9.2857700,76.524550
6,MVR Cancer Centre & Research Institute,CP 13/516 B C Vellalaserri NIT (via) Poolacode,Kozhikode,RT-PCR,,Private Lab,11.2945142,75.946817
6,Sree Chitra Tirunal Institute of Medical Sciences,"Sree Chitra Tirunal Institute of Medical Sciences, Thiruvanathapuram",Thiruvanathapuram,RT-PCR,,Govt Lab,8.5212499,76.924181
6,,Believers Church Medical College Laboratory  St Thomas Nagar  Kuttapuzha P.O.  Thiruvalla,Pathanamthitta,XPERT,Believers Church Medical College Laboratory,Private Lab,9.2952530,76.936740
7,Aswathy Fully Automated Lab,Aswathy Fully Automated Lab  General Hospital  Alappuzha,Alappuzha,ANTIGEN,Aswathy Fully Automated Lab  General Hospital  Alappuzha,Private Lab,9.4902917,76.339717
7,Aza Diagnostic Centre,Stadium Puthiyara Road,Kozhikode,RT-PCR,,Private Lab,11.2591340,75.807819
7,Lisie Hospital,Lisie Hospital  a unit of Lisie Medical Institution  Kaloor  Kochi,Ernakulam,TRUENAT,,Private Lab,9.9882711,76.288062
